date,open,high,low,close
2019/10/21,11166.24023,11271.25,11147.86035,11271.25
2019/10/14,11004.74023,11237.37988,11004.74023,11180.21973
2019/10/7,10932.24023,11020.50977,10889.95996,10889.95996
2019/10/1,10855.59961,10967.65039,10809.28027,10894.48047
2019/9/23,10924.80957,10948.19043,10825.84961,10829.67969
2019/9/16,10822.69043,10971.54004,10822.69043,10929.69043
2019/9/9,10808.67969,10862.67969,10732.78027,10827.5498
2019/9/2,10613.19043,10803.07031,10557.03027,10780.63965
2019/8/26,10453.40039,10618.0498,10340.15039,10618.0498
2019/8/19,10449.38965,10596.41016,10449.38965,10538.11035
2019/8/12,10491.79004,10518.01953,10287.75977,10420.88965
2019/8/5,10528.87012,10542.49023,10180.04004,10494.49023
2019/7/29,10872.62988,10927.16016,10524.67969,10549.04004
2019/7/22,10910.5,10994.44043,10879.24023,10891.98047
2019/7/15,10819.91992,10919.95996,10769.57031,10873.19043
2019/7/8,10742.80957,10867.58984,10680.84961,10824.34961
2019/7/1,10821.2998,10914.84961,10720.66016,10785.73047
2019/6/24,10734.25,10800.29004,10645.37012,10730.83008
2019/6/17,10488.7002,10840.29004,10474.19043,10803.76953
2019/6/10,10486.23047,10637.90039,10466.24023,10524.66992
2019/6/3,10482.4502,10541.29004,10371.08008,10409.2002
2019/5/27,10344.17969,10515.09961,10227.44043,10498.49023
2019/5/20,10405.36035,10520.62012,10289.69043,10328.28027
2019/5/13,10684.04004,10693.44043,10363.01953,10384.11035
2019/5/6,11005.36035,11005.36035,10669.38965,10712.99023
2019/4/29,10952.91016,11097,10905.78027,11096.2998
2019/4/22,10994.51953,11070.84961,10906.44043,10952.46973
2019/4/15,10849.83984,11077.99023,10849.5498,10968.5
2019/4/8,10759.95996,10887.12012,10759.95996,10805.2998
2019/4/1,10714.67969,10741.55957,10627.00977,10704.37988
2019/3/25,10535.12012,10641.04004,10458.79004,10641.04004
2019/3/18,10455.19043,10667.94043,10445.74023,10639.07031
2019/3/11,10224.26953,10439.24023,10214.01953,10439.24023
2019/3/4,10385.25,10402.38965,10204.20996,10241.75
2019/2/25,10343.4502,10416.91016,10343.4502,10389.16992
2019/2/18,10096.94043,10322.91992,10096.94043,10322.91992
2019/2/11,10029.83984,10140.98047,9988.830078,10064.78027
2019/1/28,10006.45996,10020.59961,9893.959961,9932.259766
2019/1/21,9870.269531,9980.080078,9828.030273,9969.610352
2019/1/14,9737.669922,9842.799805,9677.490234,9836.05957
2019/1/7,9460.200195,9796.980469,9460.200195,9759.400391
2019/1/2,9725.269531,9737.679688,9319.280273,9382.509766
2018/12/24,9646.530273,9727.410156,9473.299805,9727.410156
2018/12/17,9762.490234,9826.879883,9585.320313,9646.160156
2018/12/10,9722.969727,9871.959961,9626.469727,9774.160156
2018/12/3,9979.209961,10148.75,9664.75,9760.879883
2018/11/26,9679.980469,10001.84961,9679.980469,9888.030273
2018/11/19,9795.469727,9836.019531,9632.469727,9667.299805
2018/11/12,9806.799805,9875.839844,9616.160156,9797.089844
2018/11/5,9856.849609,10014.41992,9782.860352,9830.009766
2018/10/29,9515.429688,9906.589844,9459.120117,9906.589844
2018/10/22,9871.299805,9984.150391,9400.69043,9489.179688
2018/10/15,9989.629883,10127.00977,9762.910156,9919.259766
2018/10/8,10467.84961,10507.83008,9740.759766,10045.80957
2018/10/1,11014.19043,11064.33984,10446.94043,10517.12012
