date,00692,0056,00919,00632R,00635U
2024-01-02,32.49,37.17,22.21,4.52,24.98
2024-01-03,31.99,36.68,22.06,4.57,24.92
2024-01-04,32.01,36.59,22.15,4.57,24.68
2024-01-05,31.89,36.55,22.1,4.59,24.68
2024-01-08,32.09,36.57,22.07,4.56,24.58
2024-01-09,32.03,36.49,21.93,4.57,24.52
2024-01-10,31.9,36.24,21.93,4.59,24.47
2024-01-11,32.02,36.39,21.9,4.56,24.5
2024-01-12,31.91,36.33,21.97,4.59,24.54
2024-01-15,32.03,36.42,22.23,4.56,24.79
2024-01-16,31.72,36.37,22.09,4.61,24.74
2024-01-17,31.49,35.19,21.79,4.64,24.38
2024-01-18,31.62,35.12,21.78,4.63,24.21
2024-01-19,32.5,35.65,21.97,4.53,24.36
2024-01-22,32.62,36.14,22.05,4.49,24.39
2024-01-23,32.74,36.2,22.12,4.48,24.44
2024-01-24,32.72,36.23,22.21,4.48,24.38
2024-01-25,33.05,36.29,22.29,4.44,24.28
2024-01-26,33.05,36.07,22.1,4.46,24.32
2024-01-29,33.27,36.28,22.25,4.41,24.36
2024-01-30,33.18,36.36,22.25,4.42,24.43
2024-01-31,32.82,36.2,22.22,4.47,24.46
2024-02-01,32.94,36.3,22.23,4.45,24.6
2024-02-02,33.07,36.45,22.23,4.42,24.68
2024-02-05,33.19,36.45,22.21,4.42,24.4
2024-02-15,34.41,36.86,22.41,4.28,23.93
2024-02-16,34.23,37.07,22.54,4.28,24.03
2024-02-19,34.21,37.14,22.61,4.27,24.23
2024-02-20,34.43,37.39,22.97,4.27,24.2
2024-02-21,34.36,37.29,23.06,4.27,24.33
2024-02-22,34.58,37.65,23.62,4.24,24.32
2024-02-23,34.76,37.59,23.63,4.22,24.25
2024-02-26,34.86,37.68,23.83,4.2,24.34
2024-02-27,34.7,37.51,23.9,4.22,24.36
2024-02-29,34.74,37.7,24.03,4.21,24.36
2024-03-01,34.67,37.74,24.25,4.22,24.46
2024-03-04,35.4,38.0,24.61,4.13,24.9
2024-03-05,35.71,38.16,24.85,4.11,25.3
2024-03-06,35.86,38.53,25.22,4.09,25.43
2024-03-07,36.56,38.68,25.86,4.04,25.8
2024-03-08,36.97,38.45,25.95,4.03,25.74
2024-03-11,36.71,38.43,25.81,4.04,26.05
2024-03-12,37.07,38.99,26.38,3.99,26.03
2024-03-13,37.22,39.08,26.92,4.0,25.8
2024-03-14,37.16,38.72,26.09,4.0,25.9
2024-03-15,36.88,39.02,25.83,4.02,25.81
2024-03-18,37.04,39.36,25.46,4.0,25.65
2024-03-19,37.09,39.7,26.16,4.0,25.77
2024-03-20,36.9,39.63,26.13,4.02,25.77
2024-03-21,37.77,39.93,25.96,3.93,26.27
2024-03-22,37.76,39.8,25.4,3.93,25.96
2024-03-25,37.7,39.62,25.3,3.92,25.9
2024-03-26,37.81,39.24,24.99,3.94,25.93
2024-03-27,37.81,39.55,25.51,3.93,25.98
2024-03-28,37.76,39.74,25.32,3.93,26.2
2024-03-29,37.95,39.86,25.26,3.93,26.68
2024-04-01,37.74,39.59,25.04,3.93,26.96
2024-04-02,38.3,39.88,25.21,3.88,26.91
2024-04-03,37.99,39.75,25.19,3.9,27.26
2024-04-08,38.22,39.92,25.17,3.88,27.94
2024-04-09,38.96,39.99,25.2,3.8,27.97
2024-04-10,38.9,40.2,25.3,3.82,28.11
2024-04-11,38.86,40.09,25.25,3.83,27.95
2024-04-12,38.82,39.98,25.35,3.82,28.46
2024-04-15,38.47,39.62,25.22,3.87,28.13
2024-04-16,37.29,38.49,24.54,3.99,28.55
2024-04-17,37.77,38.94,24.8,3.94,28.43
2024-04-18,38.06,38.18,24.73,3.92,28.36
2024-04-19,36.44,37.27,24.15,4.06,28.52
2024-04-22,36.37,36.92,23.67,4.07,28.27
